20.04.2023;13:57:44:000;13:59:24:0000;Indoor;50;sunny;N/A;N/A
1;2808084;64
2;2788143;69
3;2759945;67
4;2716035;97
5;2649365;107
6;2544930;168
7;2365667;183
8;1993545;242
9;737193;382
10;33838;363
11;18127;375
12;9768;349
13;5236;349
14;2517;368
15;906;353
16;503;373
17;302;361
18;201;358
19;201;359
20;302;365
21;302;348
22;302;349
23;201;364
24;201;359
25;201;362
26;302;355
27;201;360
28;201;357
29;201;340
30;201;375
31;201;360
32;201;364
33;201;370
34;201;366
35;201;365
36;201;372
37;201;352
38;302;357
39;201;366
0;2805566;57
1;2808184;69
2;2788143;61
3;2760146;69
4;2716438;114
5;2650171;102
6;2544628;128
7;2365264;185
8;1993444;266
9;737798;363
10;33032;366
11;17422;361
12;9869;354
13;4632;364
14;2014;350
15;1208;346
16;503;348
17;402;357
18;302;366
19;302;354
20;302;359
21;201;359
22;302;348
23;302;356
24;201;352
25;201;359
26;201;341
27;201;354
28;302;362
29;201;361
30;201;359
31;302;372
32;201;372
33;201;366
34;201;366
35;201;353
36;201;347
37;201;352
38;201;349
39;201;374
0;2805868;61
1;2808487;64
2;2787942;73
3;2759240;73
4;2716136;87
5;2650272;124
6;2544829;141
7;2365264;184
8;1992941;237
9;736488;363
10;33737;351
11;17624;357
12;9668;360
13;4733;361
14;2719;372
15;1107;369
16;503;375
17;302;364
18;302;360
19;201;367
20;201;352
21;201;356
22;302;379
23;201;356
24;201;367
25;302;361
26;201;363
27;201;366
28;201;341
29;201;355
30;302;369
31;201;356
32;201;371
33;201;354
34;201;367
35;201;368
36;201;358
37;302;375
38;201;359
39;201;376
0;2805667;65
1;2807580;67
2;2788345;72
3;2759441;76
4;2716337;99
5;2649668;119
6;2544728;163
7;2365465;182
8;1993444;253
9;737093;377
10;33032;344
11;18329;383
12;10272;362
13;5136;357
14;2719;356
15;1007;354
16;402;361
17;302;359
18;302;371
19;201;368
20;201;360
21;201;369
22;201;364
23;201;365
24;201;353
25;201;356
26;201;354
27;201;355
28;201;376
29;201;354
30;201;380
31;201;365
32;201;372
33;201;380
34;302;353
35;201;368
36;201;352
37;201;355
38;302;369
39;302;368
0;2805365;77
1;2808487;60
2;2787640;54
3;2759038;95
4;2716136;97
5;2649668;116
6;2544628;131
7;2365264;193
8;1991229;239
9;729741;359
10;33737;376
11;17523;366
12;9970;362
13;5136;366
14;2114;356
15;1208;350
16;503;357
17;302;355
18;201;365
19;201;381
20;201;365
21;201;349
22;201;362
23;201;372
24;201;356
25;201;350
26;201;360
27;201;357
28;201;358
29;201;354
30;201;352
31;201;373
32;302;361
33;201;352
34;201;355
35;201;364
36;302;362
37;201;361
38;302;369
39;201;372
0;2805566;73
1;2808084;59
2;2787942;74
3;2759642;80
4;2715934;82
5;2650070;117
6;2544728;143
7;2364156;188
8;1991329;260
9;727827;358
10;33636;361
11;17825;351
12;9768;351
13;5236;363
14;2316;345
15;1208;349
16;503;347
17;201;357
18;302;364
19;201;361
20;201;352
21;201;375
22;201;368
23;201;350
24;201;355
25;201;370
26;201;356
27;201;360
28;201;339
29;201;349
30;201;352
31;201;354
32;201;347
33;201;364
34;201;362
35;201;369
36;201;361
37;201;348
38;201;356
39;201;352
0;2805465;59
1;2807379;65
2;2788848;74
3;2759743;92
4;2716035;88
5;2649668;101
6;2544325;147
7;2364660;190
8;1991229;269
9;722792;367
10;33435;367
11;17523;370
12;9768;346
13;5136;361
14;2215;378
15;1007;368
16;604;366
17;302;371
18;201;373
19;201;331
20;201;345
21;201;362
22;201;359
23;201;355
24;201;360
25;201;367
26;201;384
27;201;370
28;201;367
29;201;360
30;302;364
31;201;360
32;201;370
33;201;366
34;201;355
35;201;367
36;201;362
37;302;362
38;302;368
39;302;370
0;2805868;65
1;2807983;53
2;2787237;65
3;2759139;77
4;2715532;85
5;2648963;114
6;2543419;141
7;2363753;187
8;1988207;261
9;722691;365
10;33435;349
11;17825;366
12;9567;372
13;5136;351
14;2114;361
15;805;349
16;503;365
17;201;359
18;201;374
